City,Place Name,Price,Image_URL,Description,Category
Agra,Taj Mahal,₹ 50 (Indians)/ ₹ 1300 (Foreign),https://i.natgeofe.com/n/8eba070d-14e5-4d07-8bab-9db774029063/93080_2x1.jpg,The Taj Mahal an iconic symbol of love is a white marble mausoleum built by Mughal emperor Shah Jahan in memory of his wife Mumtaz Mahal.,Monument
Jaipur,Amer Fort,₹ 25 (Indians)/ ₹ 200 (Foreign),https://www.jaipurstuff.com/wp-content/uploads/2019/03/amer-fort-jaipur.jpg,Rajasthan Amer Fort  also known as Amber Fort  is a majestic fort situated on a hilltop and offers stunning views of the surrounding landscape and city.,Fort
New Delhi,India Gate,Free Entry,"https://static.toiimg.com/thumb/msid-83995408,width-748,height-499,resizemode=4,imgsize-770645/.jpg",India Gate is a war memorial dedicated to soldiers who died in World War I and stands as a symbol of India's unity and sacrifice.,Monument
Mumbai,Gateway of India,Free Entry,https://img.veenaworld.com/wp-content/uploads/2021/03/Gateway-of-India-Mumbai-History-and-Heritage.jpeg,The Gateway of India is an iconic arch monument built during the British Raj and is a popular tourist spot and gathering place in Mumbai.,Monument
Varanasi,Ganges River,Boat rides starting from ₹ 200,https://www.google.com/url?sa=i&url=https%3A%2F%2Ftheprint.in%2Fpageturner%2Fexcerpt%2Fa-british-scientists-quest-to-scientifically-explain-the-mythical-powers-of-the-ganges%2F760822%2F&psig=AOvVaw3gS8nz2sUrQfcnHQjM7AB5&ust=1711168759216000&source=images&cd=vfe&opi=89978449&ved=0CBIQjRxqFwoTCMiknsKGh4UDFQAAAAAdAAAAABAJ,The Ganges River holds immense religious significance for Hindus and witnessing its rituals and ceremonies along the ghats is a unique experience.,River
Udaipur,City Palace,₹ 300 (Indians)/ ₹ 600 (Foreign),https://images.memphistours.com/large/1246734377_shutterstock_197923865.jpg,RajasthanCity Palace  a splendid palace complex  showcases the rich history and culture of Udaipur with its intricate architecture and stunning views,Monument
Kolkata,Victoria Memorial,₹ 30 (Indians)/ ₹ 500 (Foreign),https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Victoria_Memorial_situated_in_Kolkata.jpg/1200px-Victoria_Memorial_situated_in_Kolkata.jpg,West Bengal Victoria Memorial Victoria Memorial  is an architectural marvel and museum housing a vast collection of historical artifacts.,Monument
Jaisalmer,Jaisalmer Fort,₹ 50 (Indians)/ ₹ 250 (Foreign),https://miro.medium.com/v2/resize:fit:1400/1*qOrtYIwzdh0AlE9NZYSpAQ.jpeg,Rajasthan Jaisalmer Fort  also known as Sonar Quila  is a golden-hued fort rising from the Thar Desert  offering panoramic views of the city and desert.,Fort
Kochi,Fort Kochi,Free Entry,https://en-media.thebetterindia.com/uploads/2018/02/Untitled-design-9.jpg,Fort Kochi  with its colonial buildings  Chinese fishing nets  and vibrant art scene  is a charming coastal area steeped in history and culture.,Fort
Mumbai,Marine Drive,Free Entry,https://assets.cntraveller.in/photos/60ba15fc591f977adc97738e/16:9/w_1024%2Cc_limit/Marine-drive-1366x768.jpg,Marine Drive is a picturesque promenade along the Arabian Sea  offering stunning views of the ocean and the city skyline.,Promenade
Mumbai,Elephanta Caves,₹ 120 (Indians)/ ₹ 600 (Foreign),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/4e/d4/42/cave-2.jpg?w=1200&h=1200&s=1,The Elephanta Caves are a UNESCO World Heritage Site featuring ancient rock-cut caves dedicated to Lord Shiva,Caves
Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (formerly Prince of Wales Museum),₹ 85 (Indians)/ ₹ 500 (Foreign),https://www.shutterstock.com/image-photo/chhatrapati-shivaji-maharaj-vastu-sangrahalaya-600nw-1015539259.jpg,The Chhatrapati Shivaji Maharaj Vastu Sangrahalaya is a renowned museum showcasing art  and cultural exhibits from India and abroad.,Museum
Mumbai,Juhu Beach,Free Entry,https://d3mbwbgtcl4x70.cloudfront.net/Juhu_Chowpatty_beach_62eeda554f.webp,Juhu Beach is a popular seaside destination known for its sandy shores  lively atmosphere  and vibrant food stalls.,Beach
Mumbai,Siddhivinayak Temple,Free Entry,https://www.mapsofindia.com/ci-moi-images/my-india/siddhivinayak-temple-mumbai.jpg,Siddhivinayak Temple is a revered Hindu temple dedicated to Lord Ganesha  attracting devotees and visitors from all over the world.,Temple
